index,date,time,price,volume
1301,2022-10-04,15:00:00,80.37,0.0
1302,2022-10-04,15:10:00,80.37,0.0
1303,2022-10-04,15:20:00,80.37,0.0
1304,2022-10-04,15:30:00,80.37,0.0
1305,2022-10-04,15:40:00,80.53,1.0
1306,2022-10-04,15:50:00,80.53,0.0
1307,2022-10-04,16:00:00,80.53,0.0
1361,2022-10-05,09:30:00,81.2,0.0
1362,2022-10-05,09:40:00,81.2,0.0
1363,2022-10-05,09:50:00,81.2,0.0
1364,2022-10-05,10:00:00,81.2,0.0
1365,2022-10-05,10:10:00,80.92,5.0
1366,2022-10-05,10:20:00,81.17,2.0
1367,2022-10-05,10:30:00,81.17,0.0
1368,2022-10-05,10:40:00,81.17,0.0
1369,2022-10-05,10:50:00,81.17,0.0
1370,2022-10-05,11:00:00,81.17,0.0
1371,2022-10-05,11:10:00,81.17,0.0
1372,2022-10-05,11:20:00,81.17,0.0
1373,2022-10-05,11:30:00,81.17,0.0
1374,2022-10-05,11:40:00,81.17,0.0
1375,2022-10-05,11:50:00,81.17,0.0
1376,2022-10-05,12:00:00,81.17,0.0
1377,2022-10-05,12:10:00,81.17,0.0
1378,2022-10-05,12:20:00,81.17,0.0
1379,2022-10-05,12:30:00,81.17,0.0
1380,2022-10-05,12:40:00,81.17,0.0
1381,2022-10-05,12:50:00,81.17,0.0
1382,2022-10-05,13:00:00,81.17,0.0
1383,2022-10-05,13:10:00,81.17,0.0
1384,2022-10-05,13:20:00,81.17,0.0
1385,2022-10-05,13:30:00,81.17,0.0
1386,2022-10-05,13:40:00,81.17,0.0
1387,2022-10-05,13:50:00,81.17,0.0
1388,2022-10-05,14:00:00,81.17,0.0
1389,2022-10-05,14:10:00,81.17,0.0
1390,2022-10-05,14:20:00,82.31,2.0
1391,2022-10-05,14:30:00,82.31,0.0
1392,2022-10-05,14:40:00,82.31,0.0
1393,2022-10-05,14:50:00,82.31,0.0
1394,2022-10-05,15:00:00,82.31,0.0
1395,2022-10-05,15:10:00,82.31,0.0
1396,2022-10-05,15:20:00,82.31,0.0
1397,2022-10-05,15:30:00,82.22,10.0
1398,2022-10-05,15:40:00,82.22,0.0
1399,2022-10-05,15:50:00,82.86,7.0
1400,2022-10-05,16:00:00,82.86,0.0
1446,2022-10-06,09:30:00,83.79,0.0
1447,2022-10-06,09:40:00,82.95,1.0
1448,2022-10-06,09:50:00,82.95,0.0
1449,2022-10-06,10:00:00,83.12,5.0
1450,2022-10-06,10:10:00,83.12,0.0
1451,2022-10-06,10:20:00,83.4,2.0
1452,2022-10-06,10:30:00,83.4,0.0
1453,2022-10-06,10:40:00,83.4,0.0
1454,2022-10-06,10:50:00,83.4,0.0
1455,2022-10-06,11:00:00,83.4,0.0
1456,2022-10-06,11:10:00,83.4,0.0
1457,2022-10-06,11:20:00,83.4,0.0
1458,2022-10-06,11:30:00,83.4,0.0
1459,2022-10-06,11:40:00,83.4,0.0
1460,2022-10-06,11:50:00,83.4,0.0
1461,2022-10-06,12:00:00,83.4,0.0
1462,2022-10-06,12:10:00,83.4,0.0
1463,2022-10-06,12:20:00,82.93,1.0
1464,2022-10-06,12:30:00,82.93,0.0
1465,2022-10-06,12:40:00,82.93,0.0
1466,2022-10-06,12:50:00,82.93,0.0
1467,2022-10-06,13:00:00,82.93,0.0
1468,2022-10-06,13:10:00,83.04,2.0
1469,2022-10-06,13:20:00,82.95,1.0
1470,2022-10-06,13:30:00,82.95,0.0
1471,2022-10-06,13:40:00,82.95,0.0
1472,2022-10-06,13:50:00,82.95,0.0
1473,2022-10-06,14:00:00,82.97,1.0
1474,2022-10-06,14:10:00,82.97,0.0
1475,2022-10-06,14:20:00,82.77,1.0
1476,2022-10-06,14:30:00,82.96,1.0
1477,2022-10-06,14:40:00,82.96,0.0
1478,2022-10-06,14:50:00,82.96,0.0
1479,2022-10-06,15:00:00,83.41,1.0
1480,2022-10-06,15:10:00,83.41,0.0
1481,2022-10-06,15:20:00,83.41,0.0
1482,2022-10-06,15:30:00,83.41,0.0
1483,2022-10-06,15:40:00,83.41,0.0
1484,2022-10-06,15:50:00,83.85,2.0
1485,2022-10-06,16:00:00,83.85,0.0
1557,2022-10-07,09:30:00,84.29,0.0
1558,2022-10-07,09:40:00,84.29,0.0
1559,2022-10-07,09:50:00,84.52,1.0
1560,2022-10-07,10:00:00,84.52,0.0
1561,2022-10-07,10:10:00,84.52,0.0
1562,2022-10-07,10:20:00,84.52,0.0
1563,2022-10-07,10:30:00,84.52,0.0
1564,2022-10-07,10:40:00,84.52,0.0
1565,2022-10-07,10:50:00,84.52,0.0
1566,2022-10-07,11:00:00,84.52,0.0
1567,2022-10-07,11:10:00,84.52,0.0
1568,2022-10-07,11:20:00,84.52,0.0
1569,2022-10-07,11:30:00,84.52,0.0
1570,2022-10-07,11:40:00,84.52,0.0
1571,2022-10-07,11:50:00,84.52,0.0
1572,2022-10-07,12:00:00,84.52,0.0
1573,2022-10-07,12:10:00,84.52,0.0
1574,2022-10-07,12:20:00,84.52,0.0
1575,2022-10-07,12:30:00,84.52,0.0
1576,2022-10-07,12:40:00,85.08,4.0
1577,2022-10-07,12:50:00,85.08,0.0
1578,2022-10-07,13:00:00,85.08,0.0
1579,2022-10-07,13:10:00,85.08,0.0
1580,2022-10-07,13:20:00,85.08,0.0
1581,2022-10-07,13:30:00,85.08,0.0
1582,2022-10-07,13:40:00,85.04,1.0
1583,2022-10-07,13:50:00,84.58,2.0
1584,2022-10-07,14:00:00,84.84,3.0
1585,2022-10-07,14:10:00,84.84,0.0
1586,2022-10-07,14:20:00,84.84,0.0
1587,2022-10-07,14:30:00,85.46,1.0
1588,2022-10-07,14:40:00,85.53,2.0
1589,2022-10-07,14:50:00,85.74,1.0
1590,2022-10-07,15:00:00,85.74,0.0
1591,2022-10-07,15:10:00,85.74,0.0
1592,2022-10-07,15:20:00,85.74,0.0
