nterm,date,time,price,volume,prev_day_volume,total_daily_volume_prev_day,yesterday_close,flat_delta_px_prev_bar,percent_delta_px_prev_bar,flat_delta_px_close,percent_delta_px_close
114,2022-09-01,15:10:00,83.75,7.0,1.0,350.0,86.19,-0.0900000000000034,-0.1073473282442788,-2.4399999999999977,-2.8309548671539595
115,2022-09-01,15:20:00,83.95,4.0,3.0,350.0,86.19,0.2000000000000028,0.2388059701492571,-2.239999999999995,-2.598909386239697
116,2022-09-01,15:30:00,83.82,1.0,0.0,350.0,86.19,-0.1300000000000096,-0.1548540798094218,-2.3700000000000045,-2.749738948833977
117,2022-09-01,15:40:00,83.83,9.0,1.0,350.0,86.19,0.0100000000000051,0.0119303268909629,-2.3599999999999994,-2.738136674788258
118,2022-09-01,15:50:00,83.76,7.0,9.0,350.0,86.19,-0.0699999999999931,-0.0835023261362199,-2.4299999999999926,-2.8193525931082406
119,2022-09-01,16:00:00,83.68,4.0,6.0,350.0,86.19,-0.0799999999999983,-0.0955109837631307,-2.509999999999991,-2.9121707854739425
120,2022-09-02,09:30:00,85.72,85.0,89.0,830.0,83.68,2.039999999999992,2.437858508604197,2.039999999999992,2.437858508604197
121,2022-09-02,09:40:00,85.37,34.0,37.0,830.0,83.68,-0.3499999999999943,-0.4083061129257983,1.6899999999999975,2.019598470363286
122,2022-09-02,09:50:00,85.47,29.0,75.0,830.0,83.68,0.0999999999999943,0.1171371676232802,1.789999999999992,2.1391013384321127
123,2022-09-02,10:00:00,85.61,5.0,16.0,830.0,83.68,0.1400000000000005,0.1638001638001644,1.9299999999999928,2.3064053537284805
124,2022-09-02,10:10:00,85.77,3.0,21.0,830.0,83.68,0.1599999999999966,0.1868940544328893,2.089999999999989,2.49760994263861
125,2022-09-02,10:20:00,85.84,8.0,17.0,830.0,83.68,0.0700000000000073,0.0816136178150954,2.1599999999999966,2.5812619502868026
126,2022-09-02,10:30:00,85.98,25.0,6.0,830.0,83.68,0.1400000000000005,0.1630941286113706,2.299999999999997,2.7485659655831705
127,2022-09-02,10:40:00,85.89,8.0,8.0,830.0,83.68,-0.0900000000000034,-0.1046755059316159,2.2099999999999937,2.641013384321216
128,2022-09-02,10:50:00,85.72,5.0,9.0,830.0,83.68,-0.1700000000000017,-0.1979275817906644,2.039999999999992,2.437858508604197
129,2022-09-02,11:00:00,85.01,40.0,7.0,830.0,83.68,-0.7099999999999937,-0.8282781147923399,1.3299999999999983,1.5893881453154852
130,2022-09-02,11:10:00,85.29,21.0,3.0,830.0,83.68,0.2800000000000011,0.3293730149394202,1.6099999999999994,1.923996175908221
131,2022-09-02,11:20:00,85.45,57.0,34.0,830.0,83.68,0.1599999999999966,0.1875952632195996,1.769999999999996,2.1152007648183506
132,2022-09-02,11:30:00,85.52,13.0,27.0,830.0,83.68,0.0699999999999931,0.0819192510239826,1.8399999999999888,2.1988527724665263
133,2022-09-02,11:40:00,85.27,24.0,16.0,830.0,83.68,-0.25,-0.2923292797006548,1.5899999999999892,1.900095602294442
134,2022-09-02,11:50:00,85.38,5.0,10.0,830.0,83.68,0.1099999999999994,0.1290019936671742,1.6999999999999886,2.031548757170158
135,2022-09-02,12:00:00,85.7,7.0,4.0,830.0,83.68,0.3200000000000074,0.3747950339658086,2.019999999999996,2.413957934990435
136,2022-09-02,12:10:00,85.73,7.0,6.0,830.0,83.68,0.0300000000000011,0.0350058343057189,2.049999999999997,2.4498087954110863
137,2022-09-02,12:20:00,85.81,7.0,8.0,830.0,83.68,0.0799999999999983,0.0933162253586822,2.1299999999999955,2.545411089866151
138,2022-09-02,12:30:00,85.6,12.0,14.0,830.0,83.68,-0.2100000000000079,-0.2447267218273021,1.9199999999999875,2.294455066921591
139,2022-09-02,12:40:00,85.4,15.0,8.0,830.0,83.68,-0.1999999999999886,-0.2336448598130708,1.7199999999999989,2.055449330783937
140,2022-09-02,12:50:00,84.64,13.0,10.0,830.0,83.68,-0.7600000000000051,-0.8899297423887648,0.9599999999999936,1.1472275334607955
141,2022-09-02,13:00:00,84.7,10.0,5.0,830.0,83.68,0.0600000000000022,0.0708884688090764,1.019999999999996,1.2189292543020984
142,2022-09-02,13:10:00,85.14,5.0,5.0,830.0,83.68,0.4399999999999977,0.5194805194805168,1.4599999999999935,1.7447418738049638
143,2022-09-02,13:20:00,84.9,7.0,7.0,830.0,83.68,-0.2399999999999948,-0.2818886539816712,1.2199999999999989,1.4579349904397692
144,2022-09-02,13:30:00,84.65,6.0,49.0,830.0,83.68,-0.25,-0.2944640753828033,0.9699999999999988,1.159177820267685
145,2022-09-02,13:40:00,84.39,16.0,64.0,830.0,83.68,-0.2600000000000051,-0.3071470761961076,0.7099999999999937,0.8484703632887114
146,2022-09-02,13:50:00,84.3,12.0,53.0,830.0,83.68,-0.0900000000000034,-0.1066477070743019,0.6199999999999903,0.7409177820267571
147,2022-09-02,14:00:00,84.86,10.0,49.0,830.0,83.68,0.5600000000000023,0.6642941874258628,1.1799999999999926,1.410133843212228
148,2022-09-02,14:10:00,84.9,5.0,51.0,830.0,83.68,0.0400000000000062,0.0471364600518574,1.2199999999999989,1.4579349904397692
149,2022-09-02,14:20:00,84.32,30.0,80.0,830.0,83.68,-0.5800000000000125,-0.6831566548881184,0.6399999999999864,0.764818355640519
150,2022-09-02,14:30:00,84.31,10.0,4.0,830.0,83.68,-0.0099999999999909,-0.0118595825426837,0.6299999999999955,0.7528680688336465
151,2022-09-02,14:40:00,84.35,5.0,3.0,830.0,83.68,0.039999999999992,0.0474439568259898,0.6699999999999875,0.8006692160611704
152,2022-09-02,14:50:00,84.5,3.0,3.0,830.0,83.68,0.1500000000000056,0.1778304682869065,0.8199999999999932,0.9799235181644278
153,2022-09-02,15:00:00,84.42,9.0,0.0,830.0,83.68,-0.0799999999999983,-0.0946745562130157,0.7399999999999949,0.884321223709363
154,2022-09-02,15:10:00,84.41,3.0,7.0,830.0,83.68,-0.0100000000000051,-0.0118455342335999,0.7299999999999898,0.8723709369024734
155,2022-09-02,15:20:00,84.27,5.0,4.0,830.0,83.68,-0.1400000000000005,-0.165857125932947,0.5899999999999892,0.7050669216061056
156,2022-09-02,15:30:00,84.29,3.0,1.0,830.0,83.68,0.0200000000000102,0.0237332384003918,0.6099999999999994,0.7289674952198846
157,2022-09-02,15:40:00,84.44,6.0,9.0,830.0,83.68,0.1499999999999914,0.1779570530311917,0.7599999999999909,0.9082217973231248
158,2022-09-02,15:50:00,84.35,1.0,7.0,830.0,83.68,-0.0900000000000034,-0.1065845570819557,0.6699999999999875,0.8006692160611704
159,2022-09-02,16:00:00,84.47,4.0,4.0,830.0,83.68,0.1200000000000045,0.1422643746295252,0.789999999999992,0.9440726577437762
160,2022-09-06,09:30:00,85.28,46.0,85.0,573.0,84.47,0.8100000000000023,0.9589203267432252,0.8100000000000023,0.9589203267432252
161,2022-09-06,09:40:00,85.16,3.0,34.0,573.0,84.47,-0.1200000000000045,-0.1407129455909997,0.6899999999999977,0.8168580561145942
162,2022-09-06,09:50:00,84.92,106.0,29.0,573.0,84.47,-0.2399999999999948,-0.2818224518553251,0.4500000000000028,0.5327335148573492
163,2022-09-06,10:00:00,84.55,29.0,5.0,573.0,84.47,-0.3700000000000045,-0.4357041921808814,0.0799999999999983,0.0947081804190816
164,2022-09-06,10:10:00,84.59,67.0,3.0,573.0,84.47,0.0400000000000062,0.0473092844470801,0.1200000000000045,0.1420622706286309
165,2022-09-06,10:20:00,84.52,38.0,8.0,573.0,84.47,-0.0700000000000073,-0.0827520983567884,0.0499999999999971,0.0591926127619239
166,2022-09-06,10:30:00,84.56,31.0,25.0,573.0,84.47,0.0400000000000062,0.0473260766682516,0.0900000000000034,0.1065467029714732
167,2022-09-06,10:40:00,84.37,18.0,8.0,573.0,84.47,-0.1899999999999977,-0.2246925260170266,-0.0999999999999943,-0.1183852255238479
168,2022-09-06,10:50:00,84.6,22.0,5.0,573.0,84.47,0.2299999999999897,0.2726087471850062,0.1299999999999954,0.1539007931810056
169,2022-09-06,11:00:00,84.54,11.0,40.0,573.0,84.47,-0.059999999999988,-0.0709219858155887,0.0700000000000073,0.0828696578667069
170,2022-09-06,11:10:00,84.41,12.0,21.0,573.0,84.47,-0.1300000000000096,-0.153773361722273,-0.0600000000000022,-0.0710311353143154
171,2022-09-06,11:20:00,84.58,15.0,57.0,573.0,84.47,0.1700000000000017,0.2013979386328654,0.1099999999999994,0.1302237480762394
172,2022-09-06,11:30:00,84.98,14.0,13.0,573.0,84.47,0.4000000000000057,0.4729250413809479,0.5100000000000051,0.6037646501716646
173,2022-09-06,11:40:00,85.1,3.0,24.0,573.0,84.47,0.1199999999999903,0.1412096963991413,0.6299999999999955,0.7458269208002788
174,2022-09-06,11:50:00,85.5,11.0,5.0,573.0,84.47,0.4000000000000057,0.470035252643955,1.0300000000000011,1.219367822895704
175,2022-09-06,12:00:00,85.25,5.0,7.0,573.0,84.47,-0.25,-0.2923976608187134,0.7800000000000011,0.9234047590860672
176,2022-09-06,12:10:00,85.0,15.0,7.0,573.0,84.47,-0.25,-0.2932551319648094,0.5300000000000011,0.6274416952764309
177,2022-09-06,12:20:00,84.88,10.0,7.0,573.0,84.47,-0.1200000000000045,-0.1411764705882406,0.4099999999999966,0.4853794246477999
178,2022-09-06,12:30:00,84.65,2.0,12.0,573.0,84.47,-0.2299999999999897,-0.270970782280855,0.1800000000000068,0.2130934059429464
179,2022-09-06,12:40:00,84.78,18.0,15.0,573.0,84.47,0.1299999999999954,0.1535735380980454,0.3100000000000023,0.366994199123952
180,2022-09-06,12:50:00,84.7,44.0,13.0,573.0,84.47,-0.0799999999999983,-0.0943618778013662,0.2300000000000039,0.2722860187048703
181,2022-09-06,13:00:00,84.59,4.0,10.0,573.0,84.47,-0.1099999999999994,-0.1298701298701292,0.1200000000000045,0.1420622706286309
182,2022-09-06,13:10:00,84.51,13.0,5.0,573.0,84.47,-0.0799999999999983,-0.0945738266934605,0.0400000000000062,0.0473540902095492
183,2022-09-06,13:20:00,84.36,3.0,7.0,573.0,84.47,-0.1500000000000056,-0.1774937877174366,-0.1099999999999994,-0.1302237480762394
184,2022-09-06,13:30:00,84.23,2.0,6.0,573.0,84.47,-0.1299999999999954,-0.1541014698909381,-0.2399999999999948,-0.284124541257245
185,2022-09-06,13:40:00,84.25,6.0,16.0,573.0,84.47,0.019999999999996,0.02374450908227,-0.2199999999999988,-0.2604474961524788
186,2022-09-06,13:50:00,84.13,8.0,12.0,573.0,84.47,-0.1200000000000045,-0.1424332344213704,-0.3400000000000034,-0.4025097667811097
187,2022-09-06,14:00:00,84.22,4.0,10.0,573.0,84.47,0.0900000000000034,0.1069772970402988,-0.25,-0.2959630638096365
188,2022-09-06,14:10:00,84.46,6.0,5.0,573.0,84.47,0.2399999999999948,0.2849679411066194,-0.0100000000000051,-0.0118385225523915
